"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a181","0.662852865","1.078439153","1.933084288","1.05210788","1.490766277","1.073900955"
"a182","0.285729117","0.290947376","1.011569761","2.013327882","2.239521375","0.917373014"
"a183","0.610887796","1.200273231","1.920169729","0.798083572","1.447041617","0.891046025"
"a184","0.198680263","1.238982982","0.807170001","1.367337434","1.490414224","0.658834261"
"a185","0.243809533","0.854793653","1.314504221","0.938140921","2.594502778","1.293426099"
"a186","0.824640207","1.223534977","2.099576628","0.91284524","1.645952216","1.17817883"
"a187","0.356726746","1.287226779","1.504795809","0.925170865","2.572119121","1.228687556"
"a188","0.570562293","0.911898619","2.741857134","0.899159776","1.835983637","1.08759227"
"a189","0.596063467","1.001995441","1.629955671","0.968012623","2.575055124","1.420918697"
"a190","0.47396384","0.683413183","1.368873964","1.152128995","2.216433765","1.310089463"
"a191","0.571363089","0.820615824","1.252355777","0.924112176","2.060208611","1.188089255"
"a192","0.75432054","1.40102749","2.370467085","0.939423552","1.698608642","0.799427716"
"a193","0.867745515","0.778807938","1.494583206","1.167409552","2.114909026","1.137564374"
"a194","0.420940858","1.319867836","1.609814473","1.306390502","4.459694529","1.157892111"
"a195","0.909268089","0.756538388","1.455691405","0.924490371","2.131562487","1.106694675"
"a196","0.830296879","0.253970636","2.271142579","0.915881719","1.677660923","0.461730832"
"a197","1.234604149","2.440601568","2.49603405","0.954517587","1.605694854","1.098112705"
"a198","1.289309583","2.592864757","2.176497322","0.869908996","1.492052728","1.237363166"
"a199","0.726163703","0.986118564","1.233197954","1.128059333","2.500517487","0.859472933"
"a200","1.10921624","1.68448532","2.541135422","0.893161236","1.17560304","0.776234319"
"a201","0.603597699","1.252349038","1.57134572","1.186169725","1.804431332","0.891333682"
"a202","0.616306696","1.097238626","1.434065407","1.055282462","1.736863231","1.348825764"
"a203","1.028506962","1.818082125","3.07938884","0.879754948","1.022052636","0.882104082"
"a204","0.602797083","0.833932765","0.600392453","1.099926727","2.45810248","1.386272142"
"a205","0.569354946","1.093687631","1.838354245","0.849304185","1.722445915","1.029156912"
"a206","0.908792118","1.600237329","2.660569345","0.795535801","0.992773905","0.732832619"
"a207","0.698846513","1.343594651","1.670081022","1.014270889","1.646890273","0.976227197"
"a208","0.74279384","0.990815798","1.264487843","1.018412744","1.676421427","1.035056974"
"a209","0.676186049","0.901443896","1.62836581","1.029098056","1.745515351","1.03483248"
"a210","1.18665977","1.287625009","3.274278126","0.923626536","1.017754561","0.670907122"
"a211","0.964449838","0.693247899","1.305237991","1.071696497","2.057954386","1.217796768"
"a212","0.937187167","0.917909538","2.441911371","0.748526736","1.593134131","0.967792403"
"a213","0.981412153","1.035770849","2.576601528","0.841137403","1.778842024","1.002754629"
"a214","0.72050889","0.790005982","1.69182731","0.76505047","1.584865481","1.423862981"
"a215","0.932980487","1.560960729","1.951227418","0.610661651","1.609901323","0.989847763"
"a216","0.505186405","0.966901278","2.064463028","0.7553177","1.612922877","1.474719538"
"a217","0.713071154","1.37158742","2.653653419","0.674579042","1.573098485","1.15842842"
"a218","0.754942005","1.752212497","4.176936405","0.659561703","1.287829724","1.063856789"
"a219","0.498561408","0.926021902","2.008946006","0.795182109","2.374037001","2.278806141"
"a220","0.747569153","1.404042047","2.864888359","1.081903481","2.570207133","1.9128303"
"a221","0.514054338","1.782602472","3.613142328","0.89788521","1.612180879","1.62952649"
"a222","0.391991652","1.193855897","1.52816511","1.352381825","2.931663802","2.242512955"
"a223","0.633039049","1.356690721","1.953029734","0.809931167","2.277136556","1.36181423"
"a224","0.601580461","1.195957593","2.180768486","1.11186153","2.245772382","1.59949339"
"a225","1.132137228","1.307676757","2.220855589","1.224551903","1.566880592","1.329463425"
"a226","0.801204048","0.979853814","1.790684891","0.799938787","2.808980433","1.771264355"
"a227","0.551227883","1.472406175","1.574460897","1.834410815","2.195515967","2.129586614"
"a228","0.750062128","1.614296955","1.700062373","0.567534803","1.141073503","1.136649951"
"a229","0.199138743","1.180195069","2.650038515","1.763956848","2.517881915","2.532901699"
"a230","0.788871269","1.659497905","3.97866512","1.401399987","2.33464099","1.719188511"
"a231","1.298690534","1.978596361","1.963614846","0.694145837","1.013011831","0.56411707"
"a232","1.245670544","1.572307036","1.700676094","1.237831786","2.077776428","1.665459981"
"a233","0.473570922","0.948154094","1.739249219","0.981340004","2.323229243","1.100994427"
"a234","0.674791726","1.527579365","2.862540715","0.91706603","3.469009859","0.988593955"
"a235","1.046927552","1.650514576","1.945184845","1.009778112","1.23742841","1.385021505"
"a236","0.748613933","1.025831699","1.480275884","1.211192189","1.551658248","1.356108784"
"a237","1.212912168","1.290059519","1.534138818","1.442562062","1.944940043","1.76129685"
"a238","1.240060359","1.606033497","1.852986785","1.156746563","1.377442039","1.281831764"
"a239","1.025006676","1.092994123","1.518353866","0.894651787","0.987040672","1.223907359"
"a240","1.19672052","1.595205764","2.017064793","1.080742477","1.23573339","1.552774616"
"a241","1.093271676","1.550220193","1.601606532","1.506186318","1.772630907","1.862310767"
"a242","0.441608618","0.966151182","1.123856504","1.432918036","3.298952739","2.334080936"
"a243","0.996569766","1.290837438","1.376081069","1.10386689","2.297128573","1.479315941"
"a244","0.884133785","1.329542551","1.398419754","0.823562763","1.711736558","1.218960132"
"a245","1.085555686","1.602189966","2.189937212","0.857467297","1.165536779","1.294597096"
"a246","0.542352345","0.997592478","1.364535239","1.648958844","2.580581268","3.019800915"
"a247","0.755255137","0.661075065","1.38460145","1.487654689","2.03150444","1.905952425"
"a248","0.800078394","1.33925094","2.719741857","0.806804936","1.507440426","1.169482694"
"a249","0.377250761","1.34556995","1.562540147","2.586184822","5.098905421","3.458547068"
"a250","0.960741737","1.17072576","2.74498179","1.217711029","2.539853559","1.144027802"
"a251","1.186572427","1.489724425","2.167107489","0.809052028","1.635452927","1.400845027"
"a252","0.691019516","1.294756037","1.741180323","1.691553263","1.332909211","1.751185937"
"a253","0.867109911","0.974709572","1.680288395","1.154374987","2.087115211","2.319882666"
"a254","1.541131151","1.480009725","2.039765799","1.072997715","1.322373431","1.150183924"
"a255","1.142627112","1.676558229","1.801534198","0.867905665","1.180886563","1.138599492"
"a256","0.982029928","1.703656852","1.889823259","0.867525494","1.37544496","1.08770755"
"a257","0.608903092","1.045081927","0.835928552","0.913179741","1.780655693","1.294439568"
"a258","1.440603959","1.743087643","1.969165691","0.634308258","1.038449056","1.159468234"
"a259","1.129602861","1.704718365","1.9062601","0.747775382","1.02082678","0.952330675"
"a260","0.685907794","0.877891301","0.772879887","1.231740195","2.237489683","1.32555207"
"a261","1.271684643","2.331257789","1.480327628","0.846075343","2.185405023","1.662499507"
"a262","0.474364236","0.680397412","1.22204623","1.131196652","2.862523096","1.608589281"
"a263","1.055249591","1.672595162","2.135521572","0.621003333","1.370531845","0.870577099"
"a264","0.431121517","0.892412956","1.046900544","1.042204152","1.837402182","1.169573921"
"a265","0.740106285","1.697375869","1.759756476","0.699648668","1.263699954","1.014201551"
"a266","1.042932318","1.67537172","1.953136967","0.820097484","1.406452779","0.994618757"
"a267","1.274278824","1.968475278","2.975847783","0.626087047","1.061801965","0.973458393"
"a268","0.599940597","1.422804128","1.731663955","1.208319815","3.321217069","1.420022133"
"a269","0.452673427","1.05941032","1.222744162","0.776449138","3.104724535","1.982608864"
"a270","1.09412225","1.933518791","1.935604322","0.788403908","1.306582218","0.986798697"
"a271","0.615526377","1.034854209","1.818652796","0.783626117","2.531301054","2.087843374"
"a272","1.226690602","1.702625798","2.681773947","0.449487465","1.091766706","0.715413576"
"a273","0.325660482","0.857741688","1.710513916","0.593906314","1.455915159","1.087086944"
"a274","0.861706953","1.64932125","1.945905237","0.967891703","1.773701419","1.328889409"
"a275","0.914304271","1.472805186","2.206518857","0.71379636","1.162907814","1.107868954"
